2026 年 2 月分车型 TP重心 (数据桶),品牌,子车型,日期 年/月,燃料类型 (组),燃料类型 (组) 1,车型,车身形式,TP重心,销量,2026 年 2 月分车型 TP重心
0K,宝马,7系 PHEV,2026年2月,新能源,PHEV 和 REEV,7系,轿车,,,
0K,法拉利,296 GTB,2026年2月,新能源,PHEV 和 REEV,296,跑车,,,
0K,极狐,阿尔法S5 EV,2026年2月,新能源,BEV,阿尔法S5,轿车,,,
0K,极狐,阿尔法S6,2026年2月,新能源,BEV,阿尔法S6,轿车,,,
0K,极狐,阿尔法T5 EV,2026年2月,新能源,BEV,阿尔法T5,SUV,,,
0K,极狐,阿尔法T5 REEV,2026年2月,新能源,PHEV 和 REEV,阿尔法T5,SUV,,,
0K,极狐,阿尔法T6,2026年2月,新能源,BEV,阿尔法T6,SUV,,,
0K,阿维塔,阿维塔06 EV,2026年2月,新能源,BEV,阿维塔06,轿车,,,
0K,阿维塔,阿维塔06 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔06,轿车,,,
0K,阿维塔,阿维塔07 EV,2026年2月,新能源,BEV,阿维塔07,SUV,,,
0K,阿维塔,阿维塔07 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔07,SUV,,,
0K,阿维塔,阿维塔11 EV,2026年2月,新能源,BEV,阿维塔11,SUV,,,
0K,阿维塔,阿维塔11 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔11,SUV,,,
0K,阿维塔,阿维塔12 EV,2026年2月,新能源,BEV,阿维塔12,轿车,,,
0K,阿维塔,阿维塔12 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔12,轿车,,,
0K,欧拉,芭蕾猫,2026年2月,新能源,BEV,芭蕾猫,轿车,,,
0K,方程豹,豹5,2026年2月,新能源,PHEV 和 REEV,豹5,SUV,,,
0K,方程豹,豹8,2026年2月,新能源,PHEV 和 REEV,豹8,SUV,,,
0K,奔腾,奔腾小马,2026年2月,新能源,BEV,奔腾小马,轿车,32274.129,1489,32274.129
0K,别克,别克E5,2026年2月,新能源,BEV,别克E5,SUV,,,
0K,丰田,铂智3X,2026年2月,新能源,BEV,铂智3X,SUV,,,
0K,丰田,铂智4X,2026年2月,新能源,BEV,铂智4X,SUV,,,
0K,迈克萨斯,大家7,2026年2月,新能源,BEV,大家7,MPV,,,
0K,迈克萨斯,大家7超混,2026年2月,新能源,PHEV 和 REEV,大家7,MPV,,,
0K,迈克萨斯,大家9,2026年2月,新能源,BEV,大家9,MPV,,,
0K,迈克萨斯,大家9超混,2026年2月,新能源,PHEV 和 REEV,大家9,MPV,,,
0K,JEEP,大切诺基4xe,2026年2月,新能源,PHEV 和 REEV,大切诺基,SUV,,,
0K,奇瑞QQ,多米,2026年2月,新能源,BEV,多米,轿车,,,
0K,宾利,飞驰PHEV,2026年2月,新能源,PHEV 和 REEV,飞驰,轿车,,,
0K,东风风光,风光E380,2026年2月,新能源,BEV,风光,MPV,,,40687.685033643
0K,东风风神,风神L7 EV,2026年2月,新能源,BEV,风神L7,SUV,,,
0K,东风风神,风神L7 PHEV,2026年2月,新能源,PHEV 和 REEV,风神L7,SUV,,,
0K,东风风神,风神L7X,2026年2月,新能源,BEV,风神L7,SUV,,,
0K,东风风神,风神L8,2026年2月,新能源,PHEV 和 REEV,风神L8,SUV,,,
