parent_region_name,TP 5万1档,燃料类型 (组),24 年销量,25 年销量,24 年 2 月销量,25 年 1 月销量,25 年 2 月销量,26 年 1 月销量,26 年 2 月销量
二区-鄂桂湘,5-10万,新能源,128319,170740,6803,7982,8730,7652,5830
二区-鄂桂湘,5万以下,新能源,54909,83134,2132,3422,5466,757,808
二区-鄂桂湘,10-15万,新能源,252106,289836,5189,21693,16907,11040,9613
二区-鄂桂湘,15-20万,新能源,119406,105280,3190,7553,4529,4190,2954
二区-鄂桂湘,20-25万,新能源,64040,115005,1626,8932,5585,5543,5303
二区-鄂桂湘,25-30万,新能源,96469,72407,4935,3961,2550,6569,4016
二区-鄂桂湘,30-35万,新能源,27961,39503,853,2219,1195,4250,2488
二区-鄂桂湘,35-40万,新能源,14912,20283,754,2017,1587,1335,987
二区-鄂桂湘,40-45万,新能源,6758,13112,253,487,280,933,634
二区-鄂桂湘,45-50万,新能源,2637,3938,63,106,67,867,663
二区-鄂桂湘,50-55万,新能源,10510,8077,105,1033,397,73,43
二区-鄂桂湘,55-60万,新能源,188,145,,,,1,1
二区-鄂桂湘,60万以上,新能源,1276,1651,89,83,33,232,88
二区-鄂桂湘,其他,新能源,11606,15464,634,803,661,828,610
二区-西南,5-10万,新能源,71806,103953,3786,3973,5718,3999,3794
二区-西南,5万以下,新能源,29362,33475,1294,1378,2732,509,594
二区-西南,10-15万,新能源,198534,237491,5555,14780,14120,8921,7688
二区-西南,15-20万,新能源,102069,101290,3620,5789,4318,3350,3011
二区-西南,20-25万,新能源,63518,110296,2219,6171,6918,4644,5010
二区-西南,25-30万,新能源,101852,76950,5433,3857,2658,5509,4161
二区-西南,30-35万,新能源,36085,44260,1549,2551,1811,3627,2594
二区-西南,35-40万,新能源,11362,17534,598,1305,948,1145,820
二区-西南,40-45万,新能源,9964,15741,552,623,511,1280,607
二区-西南,45-50万,新能源,3094,4438,74,124,87,867,637
二区-西南,50-55万,新能源,10243,8435,110,884,443,80,48
二区-西南,55-60万,新能源,314,226,1,,,5,1
二区-西南,60万以上,新能源,1880,2054,116,83,46,248,107
二区-西南,其他,新能源,17089,17696,771,1398,1117,1507,318
华南特区,5-10万,新能源,99800,170125,3875,5935,4581,8855,4381
华南特区,5万以下,新能源,19433,19796,774,1157,1773,533,352
