品牌,子车型,燃料类型 (组),24 年销量,25 年销量,24 年 2 月销量,25 年 1 月销量,25 年 2 月销量,26 年 1 月销量,26 年 2 月销量
阿维塔,阿维塔06 EV,新能源,,21587,,,28,696,464
阿维塔,阿维塔06 REEV,新能源,,10728,,88,13,342,230
阿维塔,阿维塔07 EV,新能源,6692,28915,,1797,1199,1100,625
阿维塔,阿维塔07 REEV,新能源,13675,21297,,1940,1513,573,400
阿维塔,阿维塔11 EV,新能源,7577,1924,644,325,115,60,23
阿维塔,阿维塔11 REEV,新能源,271,1401,,350,119,31,15
阿维塔,阿维塔12 EV,新能源,24283,9850,1255,821,469,358,135
阿维塔,阿维塔12 REEV,新能源,3972,8429,,1066,700,200,112
极氪,极氪7X,新能源,37405,60755,,4125,4913,5500,3871
极氪,极氪9X,新能源,,18996,,,,6572,5068
极氪,极氪001,新能源,95946,40073,2563,4290,3729,3528,2933
极氪,极氪007,新能源,46318,6341,4309,1447,1107,103,49
极氪,极氪007 GT,新能源,,37338,,,,1857,1998
极氪,极氪009,新能源,20597,17823,318,1286,1193,691,466
极氪,极氪MIX,新能源,1821,1281,,161,101,111,2
极氪,极氪X,新能源,8418,7771,254,1028,1032,702,250
岚图,岚图泰山,新能源,,3991,,,,1239,894
岚图,岚图知音,新能源,3691,15889,,403,477,1726,752
岚图,岚图追光 EV,新能源,538,,,,,,
岚图,岚图追光EV,新能源,753,332,9,42,7,,3
岚图,岚图追光L PHEV,新能源,,948,,,,530,73
岚图,岚图追光PHEV,新能源,4325,2177,407,149,129,26,24
岚图,岚图FREE EV,新能源,144,17,,1,3,5,4
岚图,岚图FREE REEV,新能源,13057,29908,632,2125,573,959,1450
乐道,乐道L60,新能源,21576,66792,,7389,4221,2374,1578
乐道,乐道L90,新能源,,44004,,,,1821,1342
理想,理想i6,新能源,,30279,,,,16845,16002
理想,理想i8,新能源,,24072,,,,1036,1201
理想,理想L6,新能源,192398,166101,,14413,13091,5009,4761
理想,理想L7,新能源,135541,79060,8644,6704,5700,1955,1617
理想,理想L8,新能源,79064,44027,5596,4357,3315,1217,1042
理想,理想L9,新能源,86093,45201,6290,4452,3242,970,920
理想,理想MEGA,新能源,11504,19110,406,846,659,440,388
理想,理想ONE,新能源,2,,,,,,
零跑,零跑B01,新能源,,54592,,,,4145,2353
零跑,零跑B10,新能源,,70518,,,2,2912,2313
零跑,零跑C01,新能源,1150,,,,,,
零跑,零跑C01 EV,新能源,13795,5971,457,789,702,2,1
零跑,零跑C01 REEV,新能源,6045,2209,265,459,267,37,15
零跑,零跑C10 EV,新能源,49940,100869,15,4749,4296,4223,3321
零跑,零跑C10 REEV,新能源,16605,25155,373,2220,1537,1251,1084
零跑,零跑C11,新能源,3294,,,,,,
零跑,零跑C11 EV,新能源,55009,68893,1190,4724,3946,2319,1967
零跑,零跑C11 REEV,新能源,24482,23141,1093,2168,1131,940,831
零跑,零跑C16 EV,新能源,16450,32678,,1738,1531,1156,951
零跑,零跑C16 REEV,新能源,22421,36196,,3062,1779,1659,1328
零跑,零跑Lafa5,新能源,,9707,,,,2336,1987
零跑,零跑S01,新能源,,1,,,,,
零跑,零跑T03,新能源,60694,47656,1965,4475,3231,493,421
领克,领克01 EM-P,新能源,201,33,13,2,10,1,1
领克,领克02 PHEV,新能源,2,,,,,,
领克,领克03 PHEV,新能源,,,,,,,
领克,领克05 EM-P,新能源,15,2,3,,,,
领克,领克06 EM-P,新能源,13900,2823,764,409,302,29,16
领克,领克06 PHEV,新能源,1526,,,,,,
领克,领克07 EM-P,新能源,33983,29965,,2101,1495,1573,1241
领克,领克08 EM-P,新能源,73499,50463,3390,3517,2427,2104,1669
领克,领克09 EM-P,新能源,10328,4319,807,370,215,71,47
领克,领克10 EM-P,新能源,,23099,,,,1823,1940
领克,领克900,新能源,,44311,,,,942,678
领克,领克Z10,新能源,5439,5068,,501,466,198,168
领克,领克Z20,新能源,1389,38093,,5844,3139,567,512
岚图,梦想家EV,新能源,4402,8138,56,337,266,727,243
岚图,梦想家PHEV,新能源,42520,60865,1326,4548,3421,2993,1990
腾势,腾势,新能源,31,,,,,,
腾势,腾势D9 DM-i,新能源,82807,82051,3913,9760,6254,3003,2090
